string,accented,accentType,type
A,À,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Aa,,NONE,WORD
 ,,,SEPARATOR
Aaa,,NONE,WORD
 ,,,SEPARATOR
Abejingu,Abejìngu,ONE,WORD
 ,,,SEPARATOR
Abi,Abì,ONE,WORD
 ,,,SEPARATOR
Abidvi,,NONE,WORD
 ,,,SEPARATOR
Abiejų,Abiejų̃,ONE,WORD
 ,,,SEPARATOR
Abiem,Abíem,ONE,WORD
 ,,,SEPARATOR
Abipus,Abìpus,ONE,WORD
 ,,,SEPARATOR
Abraitienė,Abráitienė,ONE,WORD
 ,,,SEPARATOR
Abraitis,Abráitis,ONE,WORD
 ,,,SEPARATOR
Abraitį,Abráitį,ONE,WORD
 ,,,SEPARATOR
Abraičio,Abráičio,ONE,WORD
 ,,,SEPARATOR
Abraičius,Abráičius,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Abromkė,,NONE,WORD
 ,,,SEPARATOR
Abu,Abù,ONE,WORD
 ,,,SEPARATOR
Ach,Ãch,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Achilo,Achìlo,ONE,WORD
 ,,,SEPARATOR
Achmetas,,NONE,WORD
 ,,,SEPARATOR
Adele,Adelè,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Adelės,Adèlės,ONE,WORD
 ,,,SEPARATOR
Adelę,Adèlę,ONE,WORD
 ,,,SEPARATOR
Adomai,Adõmai,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Adomaičio,Adomáičio,ONE,WORD
 ,,,SEPARATOR
Adomas,Adõmas,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Adomo,Adõmo,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Adomu,Adomù,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Adomui,Adõmui,ONE,WORD
 ,,,SEPARATOR
Adomuk,Adomùk,ONE,WORD
 ,,,SEPARATOR
Adomukas,Adomùkas,ONE,WORD
 ,,,SEPARATOR
Adomuko,Adomùko,ONE,WORD
 ,,,SEPARATOR
Adomą,Adõmą,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Adorno,,NONE,WORD
 ,,,SEPARATOR
Adutiškio,Adùtiškio,ONE,WORD
 ,,,SEPARATOR
Afrikoje,Ãfrikoje,ONE,WORD
 ,,,SEPARATOR
Afrikos,Ãfrikos,ONE,WORD
 ,,,SEPARATOR
Ag,Àg,ONE,WORD
 ,,,SEPARATOR
Agnese,,NONE,WORD
 ,,,SEPARATOR
Agnesei,,NONE,WORD
 ,,,SEPARATOR
Agnesė,,NONE,WORD
 ,,,SEPARATOR
Agnesės,,NONE,WORD
 ,,,SEPARATOR
Agnesę,,NONE,WORD
 ,,,SEPARATOR
Agrastų,Agrãstų,ONE,WORD
 ,,,SEPARATOR
Aha,Ahã,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Ai,Ái,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Aidas,Áidas,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Aido,Áido,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Ainių,Aĩnių,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Airijos,Aĩrijos,ONE,WORD
 ,,,SEPARATOR
Aisčių,Áisčių,ONE,WORD
 ,,,SEPARATOR
Aitvarų,Aitvarų̃,ONE,WORD
 ,,,SEPARATOR
Aiškiai,Áiškiai,ONE,WORD
 ,,,SEPARATOR
Aišku,Áišku,ONE,WORD
 ,,,SEPARATOR
Aiškus,Áiškus,ONE,WORD
 ,,,SEPARATOR
Aiškūnas,Aiškū̃nas,ONE,WORD
 ,,,SEPARATOR
Aiškūne,Aiškūnè,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Aiškūno,Aiškū̃no,ONE,WORD
 ,,,SEPARATOR
Aiškūną,Aiškū̃ną,ONE,WORD
 ,,,SEPARATOR
Aj,,NONE,WORD
 ,,,SEPARATOR
Ajerų,Ajerų̃,ONE,WORD
 ,,,SEPARATOR
Ak,Àk,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Akacijų,Akãcijų,ONE,WORD
 ,,,SEPARATOR
Akapulko,,NONE,WORD
 ,,,SEPARATOR
Akies,Akiẽs,ONE,WORD
 ,,,SEPARATOR
Akimirką,Akìmirką,ONE,WORD
 ,,,SEPARATOR
Akis,Akìs,ONE,WORD
 ,,,SEPARATOR
Akmeninėse,Akmenìnėse,ONE,WORD
 ,,,SEPARATOR
Akmenės,Akmẽnės,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Akselis,Ãkselis,ONE,WORD
 ,,,SEPARATOR
Akys,Akỹs,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Alachui,Alãchui,ONE,WORD
 ,,,SEPARATOR
Albiono,Albiòno,ONE,WORD
 ,,,SEPARATOR
Albį,,NONE,WORD
 ,,,SEPARATOR
Aldomu,,NONE,WORD
 ,,,SEPARATOR
Aldonines,Aldõnines,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Aldutę,Aldùtę,ONE,WORD
 ,,,SEPARATOR
Aleksandrijos,Aleksándrijos,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Aleksandrą,Aleksándrą,ONE,WORD
 ,,,SEPARATOR
Alekso,Ãlekso,ONE,WORD
 ,,,SEPARATOR
Aleno,Ãleno,ONE,WORD
 ,,,SEPARATOR
Alenute,,NONE,WORD
 ,,,SEPARATOR
Alenutės,,NONE,WORD
 ,,,SEPARATOR
Algimantas,Algìmantas,ONE,WORD
 ,,,SEPARATOR
Algio,Al̃gio,ONE,WORD
 ,,,SEPARATOR
Algis,Al̃gis,ONE,WORD
 ,,,SEPARATOR
Ališauskų,Ališáuskų,MULTIPLE_VARIANT,WORD
 ,,,SEPARATOR
Alko,Álko,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Alksnių,Al̃ksnių,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Alksnyne,Alksnynè,MULTIPLE_MEANING,WORD
 ,,,SEPARATOR
Alksnyno,Alksnýno,ONE,WORD
 ,,,SEPARATOR
Almudenos,,NONE,WORD
 ,,,SEPARATOR
Alpionas,,NONE,WORD
 ,,,SEPARATOR
Alpiono,,NONE,WORD
 ,,,SEPARATOR
Alpionui,,NONE,WORD
 ,,,SEPARATOR
Alytaus,Alytaũs,ONE,WORD
 ,,,SEPARATOR
Alyvų,Alỹvų,ONE,WORD
 ,,,SEPARATOR
Alėja,Alė́ja,ONE,WORD
 ,,,SEPARATOR
Alšėnų,Alšė́nų,ONE,WORD
 ,,,SEPARATOR
Alžyre,Alžyrè,MULTIPLE_MEANING,WORD
