"user_email_hash","model_name","phrase_id","speaker_id","rating"
"1bff70e1","Tacotron2-180spk","p055","VP427","1"
"1bff70e1","GT-000000","p056","VP427","5"
"1bff70e1","Glow-060spk","p023","IS038","2"
"1bff70e1","Glow-060spk","p016","IS031","3"
"1bff70e1","Tacotron2-060spk","p026","IS038","4"
"1bff70e1","Tacotron2-180spk","p020","IS031","3"
"1bff70e1","Glow-060spk","p051","VP427","1"
"1bff70e1","Glow-180spk","p059","VP427","1"
"1bff70e1","Glow-030spk","p036","MS052","2"
"1bff70e1","Tacotron2-030spk","p053","VP427","2"
"1bff70e1","Tacotron2-060spk","p033","MS052","2"
"1bff70e1","Tacotron2-180spk","p006","AS009","4"
"1bff70e1","Tacotron2-060spk","p019","IS031","5"
"1bff70e1","Glow-180spk","p031","MS052","2"
"1bff70e1","GT-000000","p007","AS009","5"
"1bff70e1","Tacotron2-180spk","p048","VP131","2"
"1bff70e1","Glow-180spk","p017","IS031","2"
"1bff70e1","Tacotron2-030spk","p011","IS031","3"
"1bff70e1","Glow-060spk","p058","VP427","1"
"1bff70e1","Glow-180spk","p010","AS009","4"
"1bff70e1","Tacotron2-030spk","p018","IS031","3"
"1bff70e1","GT-000000","p028","IS038","5"
"1bff70e1","Glow-060spk","p002","AS009","3"
"672b35f5","Tacotron2-030spk","p024","IS038","4"
"672b35f5","Tacotron2-180spk","p012","IS031","3"
"672b35f5","Glow-180spk","p058","VP427","2"
"672b35f5","Tacotron2-180spk","p040","MS052","2"
"bcdc8c82","Glow-060spk","p003","AS009","2"
"1bff70e1","Tacotron2-060spk","p040","MS052","2"
"1bff70e1","Glow-180spk","p003","AS009","3"
"1bff70e1","GT-000000","p035","MS052","5"
"1bff70e1","GT-000000","p042","VP131","5"
"672b35f5","Tacotron2-060spk","p039","MS052","2"
"672b35f5","GT-000000","p013","IS031","5"
"44bab550","Glow-180spk","p029","IS038","3"
"44bab550","Tacotron2-180spk","p025","IS038","4"
"44bab550","Tacotron2-180spk","p039","MS052","3"
"44bab550","Glow-060spk","p014","IS031","4"
"44bab550","GT-000000","p005","AS009","5"
"44bab550","GT-000000","p054","VP427","5"
"44bab550","Tacotron2-030spk","p030","IS038","4"
"44bab550","Glow-060spk","p021","IS038","3"
"44bab550","Tacotron2-030spk","p009","AS009","5"
"44bab550","Tacotron2-180spk","p060","VP427","4"
"44bab550","Glow-030spk","p027","IS038","4"
"44bab550","GT-000000","p047","VP131","5"
"bcdc8c82","Glow-180spk","p046","VP131","1"
"bcdc8c82","Glow-060spk","p010","AS009","1"
"bcdc8c82","Glow-180spk","p025","IS038","2"
"44bab550","Tacotron2-180spk","p018","IS031","3"
"44bab550","Glow-060spk","p042","VP131","1"
"44bab550","GT-000000","p012","IS031","5"
"44bab550","Glow-030spk","p048","VP131","2"
"44bab550","Tacotron2-060spk","p024","IS038","5"
"44bab550","Tacotron2-180spk","p004","AS009","5"
"44bab550","GT-000000","p019","IS031","5"
"44bab550","Glow-060spk","p056","VP427","3"
"44bab550","Glow-180spk","p043","VP131","3"
"44bab550","Tacotron2-060spk","p038","MS052","3"
"44bab550","Glow-030spk","p006","AS009","2"
"44bab550","Glow-030spk","p055","VP427","2"
"44bab550","Tacotron2-060spk","p010","AS009","4"
"44bab550","Tacotron2-180spk","p011","IS031","3"
"44bab550","Glow-060spk","p028","IS038","4"
"44bab550","Tacotron2-030spk","p044","VP131","5"
"44bab550","Glow-180spk","p015","IS031","2"
"44bab550","Tacotron2-030spk","p058","VP427","5"
"44bab550","Tacotron2-060spk","p017","IS031","4"
"44bab550","Glow-180spk","p050","VP131","3"
"44bab550","Glow-060spk","p035","MS052","3"
"44bab550","Glow-180spk","p001","AS009","3"
"44bab550","GT-000000","p026","IS038","5"
"44bab550","Glow-180spk","p057","VP427","3"
"44bab550","Glow-060spk","p049","VP131","2"
"44bab550","Glow-030spk","p034","MS052","2"
"44bab550","Tacotron2-060spk","p059","VP427","5"
"44bab550","Tacotron2-180spk","p046","VP131","4"
"44bab550","Tacotron2-030spk","p016","IS031","5"
"44bab550","GT-000000","p040","MS052","5"
"44bab550","Glow-030spk","p020","IS031","2"
"44bab550","Tacotron2-060spk","p045","VP131","3"
"44bab550","Tacotron2-030spk","p037","MS052","1"
"44bab550","Tacotron2-180spk","p032","MS052","2"
"44bab550","Glow-060spk","p007","AS009","5"
"44bab550","Tacotron2-030spk","p023","IS038","5"
"44bab550","Tacotron2-060spk","p003","AS009","5"
"44bab550","Glow-180spk","p036","MS052","1"
"44bab550","Glow-180spk","p022","IS038","4"
"44bab550","Glow-030spk","p041","VP131","2"
"44bab550","Tacotron2-180spk","p053","VP427","4"
"44bab550","Tacotron2-060spk","p031","MS052","4"
"44bab550","Glow-180spk","p008","AS009","4"
"44bab550","Tacotron2-030spk","p051","VP427","4"
